	otu	kingdom	phylum	class	order	family	genus	species
1214	oligotype_1215_30	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	0	0
1215	oligotype_1216_30	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	0	0
1216	oligotype_1217_30	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	0	0
1217	oligotype_1218_29	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	Leptotrichia hofstadii
1218	oligotype_1219_29	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	0	0
1219	oligotype_1220_29	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Dysgonamonadaceae	0	0
1220	oligotype_1221_29	0	0	0	0	0	0	0
1221	oligotype_1222_28	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus haemolyticus
1222	oligotype_1223_28	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum
1223	oligotype_1224_28	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella atypica
1224	oligotype_1225_28	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	Aggregatibacter aphrophilus
1225	oligotype_1226_28	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	0
1226	oligotype_1227_28	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	0	0
1227	oligotype_1228_28	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0
1228	oligotype_1229_28	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella parvula
1229	oligotype_1230_28	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	0	0
1230	oligotype_1231_27	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema vincentii
1231	oligotype_1232_27	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	0	0
1232	oligotype_1233_27	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Wolinella	0
1233	oligotype_1234_27	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0
1234	oligotype_1235_27	0	0	0	0	0	0	0
1235	oligotype_1236_27	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	0	0
1236	oligotype_1237_27	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella oris
1237	oligotype_1238_27	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	0
1238	oligotype_1239_27	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria macacae
1239	oligotype_1240_26	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	0
1240	oligotype_1241_26	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0
1241	oligotype_1242_26	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium matruchotii
1242	oligotype_1243_26	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	0
1243	oligotype_1244_26	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella nigrescens
1244	oligotype_1245_26	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	0	0
1245	oligotype_1246_26	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Gemella	0
1246	oligotype_1247_26	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0
1247	oligotype_1248_26	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella nigrescens
1248	oligotype_1249_26	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	0	0
1249	oligotype_1250_25	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0
1250	oligotype_1251_25	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	0	0
1251	oligotype_1252_25	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	0
1252	oligotype_1253_25	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas endodontalis
1253	oligotype_1254_25	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella oulorum
1254	oligotype_1255_25	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Atopobium	Atopobium rimae
1255	oligotype_1256_25	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter concisus
1256	oligotype_1257_25	0	0	0	0	0	0	0
1257	oligotype_1258_24	0	0	0	0	0	0	0
1258	oligotype_1259_24	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0
1259	oligotype_1260_24	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	0
1260	oligotype_1261_24	Bacteria	0	0	0	0	0	0
1261	oligotype_1262_24	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella oris
1262	oligotype_1263_24	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	0	0
1263	oligotype_1264_24	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus haemolyticus
1264	oligotype_1265_24	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	0	0
1265	oligotype_1266_23	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	0	0
1266	oligotype_1267_23	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	0
1267	oligotype_1268_23	Bacteria	Bacteroidetes	Bacteroidia	Marinilabiliales	0	0	0
1268	oligotype_1269_23	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	0	0
1269	oligotype_1270_23	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0
1270	oligotype_1271_23	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Tannerella	0
1271	oligotype_1272_22	Bacteria	Proteobacteria	Gammaproteobacteria	Cardiobacteriales	Cardiobacteriaceae	0	0
1272	oligotype_1273_22	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	0	0
1273	oligotype_1274_22	0	0	0	0	0	0	0
1274	oligotype_1275_22	Bacteria	Bacteroidetes	0	0	0	0	0
1275	oligotype_1276_22	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	0
1276	oligotype_1277_22	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	0	0
1277	oligotype_1278_22	Bacteria	Proteobacteria	Gammaproteobacteria	Cardiobacteriales	Cardiobacteriaceae	0	0
1278	oligotype_1279_22	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	0
1279	oligotype_1280_22	0	0	0	0	0	0	0
1280	oligotype_1281_22	0	0	0	0	0	0	0
1281	oligotype_1282_22	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	0	0
1282	oligotype_1283_21	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella oulorum
1283	oligotype_1284_21	Bacteria	Bacteroidetes	Bacteroidia	Marinilabiliales	0	0	0
1284	oligotype_1285_21	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	0	0
1285	oligotype_1286_21	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	0	0
1286	oligotype_1287_21	Bacteria	0	0	0	0	0	0
1287	oligotype_1288_21	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	0
1288	oligotype_1289_21	0	0	0	0	0	0	0
1289	oligotype_1290_21	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	0	0
1290	oligotype_1291_21	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	0
1291	oligotype_1292_21	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	0	0
1292	oligotype_1293_21	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	Leptotrichia buccalis
1293	oligotype_1294_20	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum
1294	oligotype_1295_20	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	0	0
1295	oligotype_1296_20	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	0	0
1296	oligotype_1297_19	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	0	0
1297	oligotype_1298_19	0	0	0	0	0	0	0
1298	oligotype_1299_19	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	0
1299	oligotype_1300_19	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	0	0
1300	oligotype_1301_18	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoanaerobaculum	Lachnoanaerobaculum saburreum
1301	oligotype_1302_18	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	0	0
1302	oligotype_1303_18	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	Aggregatibacter actinomycetemcomitans
1303	oligotype_1304_18	Bacteria	Proteobacteria	Gammaproteobacteria	Cardiobacteriales	Cardiobacteriaceae	0	0
1304	oligotype_1305_18	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella	Eikenella corrodens
1305	oligotype_1306_18	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	0	0	0
1306	oligotype_1307_17	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	0
1307	oligotype_1308_17	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	0	0
1308	oligotype_1309_16	0	0	0	0	0	0	0
1309	oligotype_1310_16	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0
1310	oligotype_1311_16	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Bergeyella	0
1311	oligotype_1312_16	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	0
1312	oligotype_1313_15	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0
1313	oligotype_1314_15	0	0	0	0	0	0	0
1314	oligotype_1315_14	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	0	0
1315	oligotype_1316_14	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	0
1316	oligotype_1317_14	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	0
1317	oligotype_1318_14	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	0	0
