	otu	kingdom	phylum	class	order	family	genus	species
55	oligotype_56_12167	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sulci
56	oligotype_57_12120	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus stomatis
57	oligotype_58_12016	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	0
58	oligotype_59_11447	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum
59	oligotype_60_11185	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella parvula
60	oligotype_61_10733	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella pallens
61	oligotype_62_10523	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces viscosus
62	oligotype_63_10180	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus parainfluenzae
63	oligotype_64_9864	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0
64	oligotype_65_9527	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	0	0
65	oligotype_66_9334	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	0	0
66	oligotype_67_9332	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Oribacterium	Oribacterium sinus
67	oligotype_68_9332	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria flavescens
68	oligotype_69_8952	Bacteria	0	0	0	0	0	0
69	oligotype_70_8856	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoanaerobaculum	Lachnoanaerobaculum saburreum
70	oligotype_71_8655	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum
71	oligotype_72_8258	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	0
72	oligotype_73_8149	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella histicola
73	oligotype_74_7866	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	0
74	oligotype_75_7724	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	0
75	oligotype_76_7602	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella melaninogenica
76	oligotype_77_7573	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella pallens
77	oligotype_78_7485	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus haemolyticus
78	oligotype_79_7115	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella salivae
79	oligotype_80_7021	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	0	0
80	oligotype_81_6981	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus parainfluenzae
81	oligotype_82_6849	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	0	0	0
82	oligotype_83_6843	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	0	0
83	oligotype_84_6737	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus parainfluenzae
84	oligotype_85_6670	0	0	0	0	0	0	0
85	oligotype_86_6541	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	Granulicatella elegans
86	oligotype_87_6453	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus parainfluenzae
87	oligotype_88_6448	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium periodonticum
88	oligotype_89_6352	0	0	0	0	0	0	0
89	oligotype_90_6291	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria flavescens
90	oligotype_91_6026	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	0
91	oligotype_92_5996	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria mucosa
92	oligotype_93_5980	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	0	0
93	oligotype_94_5936	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	0	0	0
94	oligotype_95_5762	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	0	0
95	oligotype_96_5663	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces odontolyticus
96	oligotype_97_5656	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	Aggregatibacter segnis
97	oligotype_98_5615	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	0
98	oligotype_99_5393	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0
99	oligotype_100_5059	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella atypica
100	oligotype_101_4844	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella parvula
101	oligotype_102_4823	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella histicola
102	oligotype_103_4813	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	0	0
103	oligotype_104_4735	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	0
104	oligotype_105_4715	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria mucosa
105	oligotype_106_4662	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	0
106	oligotype_107_4655	0	0	0	0	0	0	0
107	oligotype_108_4641	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	Aggregatibacter aphrophilus
108	oligotype_109_4635	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus pittmaniae
109	oligotype_110_4626	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	0
110	oligotype_111_4569	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria mucosa
111	oligotype_112_4545	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus pittmaniae
112	oligotype_113_4526	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella atypica
113	oligotype_114_4319	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sanguinis
114	oligotype_115_4304	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	0
115	oligotype_116_4243	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella melaninogenica
116	oligotype_117_4173	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	0	0
117	oligotype_118_4094	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas endodontalis
118	oligotype_119_3997	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella veroralis
119	oligotype_120_3906	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas gingivalis
120	oligotype_121_3833	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	0	0
121	oligotype_122_3778	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces odontolyticus
122	oligotype_123_3753	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	0
123	oligotype_124_3742	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	0	0	0
124	oligotype_125_3640	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Stomatobaculum	Stomatobaculum longum
125	oligotype_126_3613	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	0	0
126	oligotype_127_3516	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	0
127	oligotype_128_3437	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	0
128	oligotype_129_3377	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum
129	oligotype_130_3358	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus parainfluenzae
130	oligotype_131_3346	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum
131	oligotype_132_3296	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	0
132	oligotype_133_3289	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Rothia	Rothia aeria
133	oligotype_134_3220	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus parasanguinis
134	oligotype_135_3141	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium matruchotii
135	oligotype_136_3100	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus gordonii
136	oligotype_137_3085	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium periodonticum
137	oligotype_138_2991	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter gracilis
138	oligotype_139_2971	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum
139	oligotype_140_2915	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	0
140	oligotype_141_2824	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus pittmaniae
141	oligotype_142_2794	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	0	0	0
142	oligotype_143_2772	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0
143	oligotype_144_2754	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Atopobium	Atopobium parvulum
144	oligotype_145_2736	Bacteria	Firmicutes	Clostridia	Clostridiales	0	0	0
145	oligotype_146_2705	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	0
146	oligotype_147_2693	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Parvimonas	0
147	oligotype_148_2686	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces odontolyticus
148	oligotype_149_2678	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	0
149	oligotype_150_2677	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mitis
150	oligotype_151_2651	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	0
151	oligotype_152_2627	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	Alloprevotella tannerae
152	oligotype_153_2612	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces viscosus
153	oligotype_154_2598	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	0
154	oligotype_155_2587	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia	Lautropia mirabilis
155	oligotype_156_2580	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	0	0
156	oligotype_157_2549	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0
157	oligotype_158_2485	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Kingella	Kingella oralis
158	oligotype_159_2480	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus sputorum
159	oligotype_160_2408	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella pallens
160	oligotype_161_2400	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	0
161	oligotype_162_2372	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0
162	oligotype_163_2320	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter concisus
163	oligotype_164_2253	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	0
164	oligotype_165_2252	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	0	0
165	oligotype_166_2245	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	Alloprevotella rava
166	oligotype_167_2244	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus sputorum
167	oligotype_168_2241	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria mucosa
168	oligotype_169_2241	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	0	0
169	oligotype_170_2201	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum
170	oligotype_171_2167	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	Leptotrichia buccalis
171	oligotype_172_2167	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Oribacterium	0
172	oligotype_173_2162	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria elongata
173	oligotype_174_2154	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	0
174	oligotype_175_2122	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	0
175	oligotype_176_2103	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	0
176	oligotype_177_2036	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	0
177	oligotype_178_2012	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	0
178	oligotype_179_2001	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria mucosa
179	oligotype_180_1989	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	0	0
180	oligotype_181_1941	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella histicola
181	oligotype_182_1932	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	0	0
182	oligotype_183_1892	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	0
183	oligotype_184_1782	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	0
184	oligotype_185_1773	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	0	0	0
185	oligotype_186_1758	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia	0
186	oligotype_187_1747	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella histicola
187	oligotype_188_1723	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0
188	oligotype_189_1685	Bacteria	0	0	0	0	0	0
189	oligotype_190_1666	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces odontolyticus
190	oligotype_191_1657	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces viscosus
191	oligotype_192_1649	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	Alloprevotella rava
192	oligotype_193_1641	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	0	0
193	oligotype_194_1638	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Dysgonamonadaceae	0	0
194	oligotype_195_1634	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	0
195	oligotype_196_1610	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0
196	oligotype_197_1609	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	0
197	oligotype_198_1591	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella nigrescens
198	oligotype_199_1586	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	0	0
199	oligotype_200_1586	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria cinerea
200	oligotype_201_1577	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	0	0	0
201	oligotype_202_1548	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	Aggregatibacter aphrophilus
202	oligotype_203_1543	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Gemella	0
203	oligotype_204_1502	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium periodonticum
204	oligotype_205_1466	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Capnocytophaga sputigena
205	oligotype_206_1463	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	0
206	oligotype_207_1458	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Gemella	Gemella morbillorum
207	oligotype_208_1448	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	0
208	oligotype_209_1424	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	0
209	oligotype_210_1412	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	0	0
210	oligotype_211_1411	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella parvula
211	oligotype_212_1401	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	0	0
212	oligotype_213_1398	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0
213	oligotype_214_1395	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum
214	oligotype_215_1391	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas endodontalis
215	oligotype_216_1387	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium periodonticum
216	oligotype_217_1370	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria macacae
217	oligotype_218_1336	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus pittmaniae
218	oligotype_219_1330	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas endodontalis
219	oligotype_220_1325	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	0
220	oligotype_221_1315	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	0
221	oligotype_222_1295	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	0
222	oligotype_223_1293	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	0
223	oligotype_224_1277	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria mucosa
224	oligotype_225_1257	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella veroralis
225	oligotype_226_1256	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum
226	oligotype_227_1232	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	0
227	oligotype_228_1229	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	0	0
228	oligotype_229_1216	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0
229	oligotype_230_1213	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus parainfluenzae
230	oligotype_231_1210	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	0
231	oligotype_232_1207	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Dysgonamonadaceae	0	0
232	oligotype_233_1179	Bacteria	Firmicutes	0	0	0	0	0
233	oligotype_234_1172	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Capnocytophaga gingivalis
234	oligotype_235_1151	0	0	0	0	0	0	0
235	oligotype_236_1142	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus parasanguinis
236	oligotype_237_1130	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	Alloprevotella rava
237	oligotype_238_1113	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria mucosa
238	oligotype_239_1109	0	0	0	0	0	0	0
239	oligotype_240_1108	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium saphenum
240	oligotype_241_1106	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces massiliensis
241	oligotype_242_1102	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces meyeri
242	oligotype_243_1101	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	Leptotrichia hofstadii
243	oligotype_244_1098	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	0	0
244	oligotype_245_1093	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	Aggregatibacter aphrophilus
245	oligotype_246_1090	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Oribacterium	Oribacterium sinus
246	oligotype_247_1084	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	0
247	oligotype_248_1079	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella parvula
248	oligotype_249_1073	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum
249	oligotype_250_1069	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas gingivalis
250	oligotype_251_1063	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium matruchotii
251	oligotype_252_1056	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	0	0
252	oligotype_253_1051	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella veroralis
253	oligotype_254_1043	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus parainfluenzae
254	oligotype_255_1041	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces odontolyticus
255	oligotype_256_1034	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Capnocytophaga gingivalis
256	oligotype_257_1021	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter gracilis
257	oligotype_258_1019	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum
258	oligotype_259_1006	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus haemolyticus
259	oligotype_260_988	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0
260	oligotype_261_987	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria mucosa
261	oligotype_262_985	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	0	0
262	oligotype_263_985	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0
263	oligotype_264_973	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	0	0
264	oligotype_265_973	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella melaninogenica
265	oligotype_266_954	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Filifactor	Filifactor alocis
266	oligotype_267_953	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	0
267	oligotype_268_953	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0
268	oligotype_269_952	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0
269	oligotype_270_950	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria flavescens
270	oligotype_271_945	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Rothia	Rothia mucilaginosa
